County,observation_date,Unemployment Rate
Cuyahoga,1/1/2010,9.3
Cuyahoga,2/1/2010,9.7
Cuyahoga,3/1/2010,9
Cuyahoga,4/1/2010,8.5
Cuyahoga,5/1/2010,8.4
Cuyahoga,6/1/2010,8.9
Cuyahoga,7/1/2010,8.9
Cuyahoga,8/1/2010,8.4
Cuyahoga,9/1/2010,8.1
Cuyahoga,10/1/2010,7.7
Cuyahoga,11/1/2010,7.9
Cuyahoga,12/1/2010,7.5
Cuyahoga,1/1/2011,8.2
Cuyahoga,2/1/2011,8.4
Cuyahoga,3/1/2011,7.6
Cuyahoga,4/1/2011,7.1
Cuyahoga,5/1/2011,7.5
Cuyahoga,6/1/2011,8.5
Cuyahoga,7/1/2011,8.2
Cuyahoga,8/1/2011,7.6
Cuyahoga,9/1/2011,7.5
Cuyahoga,10/1/2011,7.1
Cuyahoga,11/1/2011,6.6
Cuyahoga,12/1/2011,6.7
Cuyahoga,1/1/2012,7.3
Cuyahoga,2/1/2012,7.7
Cuyahoga,3/1/2012,7
Cuyahoga,4/1/2012,6.3
Cuyahoga,5/1/2012,6.7
Cuyahoga,6/1/2012,7.5
Cuyahoga,7/1/2012,7.4
Cuyahoga,8/1/2012,6.8
Cuyahoga,9/1/2012,6.3
Cuyahoga,10/1/2012,6.2
Cuyahoga,11/1/2012,5.9
Cuyahoga,12/1/2012,6.4
Cuyahoga,1/1/2013,7.5
Cuyahoga,2/1/2013,7.8
Cuyahoga,3/1/2013,6.8
Cuyahoga,4/1/2013,6.2
Cuyahoga,5/1/2013,6.8
Cuyahoga,6/1/2013,7.7
Cuyahoga,7/1/2013,7.4
Cuyahoga,8/1/2013,7
Cuyahoga,9/1/2013,6.7
Cuyahoga,10/1/2013,6.8
Cuyahoga,11/1/2013,6.3
Cuyahoga,12/1/2013,6.3
Cuyahoga,1/1/2014,7.2
Cuyahoga,2/1/2014,7.6
Cuyahoga,3/1/2014,6.8
Cuyahoga,4/1/2014,5.7
Cuyahoga,5/1/2014,6.3
Cuyahoga,6/1/2014,6.8
Cuyahoga,7/1/2014,6.8
Cuyahoga,8/1/2014,6.3
Cuyahoga,9/1/2014,5.5
Cuyahoga,10/1/2014,5.3
Cuyahoga,11/1/2014,5.1
Cuyahoga,12/1/2014,5.1
Cuyahoga,1/1/2015,5.9
Cuyahoga,2/1/2015,6.1
Cuyahoga,3/1/2015,5.4
Cuyahoga,4/1/2015,5
Cuyahoga,5/1/2015,5.6
Cuyahoga,6/1/2015,5.7
Cuyahoga,7/1/2015,5.5
Cuyahoga,8/1/2015,4.8
Cuyahoga,9/1/2015,4.5
Cuyahoga,10/1/2015,4.3
Cuyahoga,11/1/2015,4.3
Cuyahoga,12/1/2015,4.4
Cuyahoga,1/1/2016,5.1
Cuyahoga,2/1/2016,5.7
Cuyahoga,3/1/2016,5.5
Cuyahoga,4/1/2016,5.1
Cuyahoga,5/1/2016,5.1
Cuyahoga,6/1/2016,5.9
Cuyahoga,7/1/2016,5.8
Cuyahoga,8/1/2016,5.6
Cuyahoga,9/1/2016,5.5
Cuyahoga,10/1/2016,5.4
Cuyahoga,11/1/2016,5.1
Cuyahoga,12/1/2016,5.5
Cuyahoga,1/1/2017,6.4
Cuyahoga,2/1/2017,6.8
Cuyahoga,3/1/2017,5.9
Cuyahoga,4/1/2017,5.4
Cuyahoga,5/1/2017,5.6
Cuyahoga,6/1/2017,6.1
Cuyahoga,7/1/2017,6
Cuyahoga,8/1/2017,5.8
Cuyahoga,9/1/2017,5.2
Cuyahoga,10/1/2017,4.6
Cuyahoga,11/1/2017,4.5
Cuyahoga,12/1/2017,4.5
Cuyahoga,1/1/2018,5.1
Cuyahoga,2/1/2018,5.6
Cuyahoga,3/1/2018,5
Cuyahoga,4/1/2018,4.6
Cuyahoga,5/1/2018,4.7
Cuyahoga,6/1/2018,5.6
Cuyahoga,7/1/2018,5.2
Cuyahoga,8/1/2018,4.7
Cuyahoga,9/1/2018,4.3
Cuyahoga,10/1/2018,4.1
Cuyahoga,11/1/2018,3.9
Cuyahoga,12/1/2018,4.2
Cuyahoga,1/1/2019,4.8
Cuyahoga,2/1/2019,4.8
Cuyahoga,3/1/2019,4.4
Cuyahoga,4/1/2019,3.8
Cuyahoga,5/1/2019,4
Cuyahoga,6/1/2019,4.7
Cuyahoga,7/1/2019,4.8
Cuyahoga,8/1/2019,4.2
Cuyahoga,9/1/2019,3.9
Cuyahoga,10/1/2019,3.5
Cuyahoga,11/1/2019,3.5
Cuyahoga,12/1/2019,3.6
Cuyahoga,1/1/2020,4.7
Cuyahoga,2/1/2020,5.1
Cuyahoga,3/1/2020,7.2
Cuyahoga,4/1/2020,22.9
Cuyahoga,5/1/2020,18.1
Cuyahoga,6/1/2020,15.2
Cuyahoga,7/1/2020,13.1
Cuyahoga,8/1/2020,11.6
